ID: 224 crossed going down at Thu Aug  5 16:15:58 2021
ID: 225 crossed going down at Thu Aug  5 16:15:58 2021
ID: 229 crossed going down at Thu Aug  5 16:16:00 2021
ID: 229 crossed going up at Thu Aug  5 16:16:00 2021
ID: 229 crossed going down at Thu Aug  5 16:16:01 2021
ID: 229 crossed going down at Thu Aug  5 16:16:02 2021
ID: 229 crossed going down at Thu Aug  5 16:16:02 2021
ID: 241 crossed going up at Thu Aug  5 16:16:03 2021
ID: 241 crossed going up at Thu Aug  5 16:16:05 2021
ID: 245 crossed going down at Thu Aug  5 16:16:06 2021
ID: 251 crossed going down at Thu Aug  5 16:16:21 2021
ID: 251 crossed going down at Thu Aug  5 16:16:22 2021
ID: 263 crossed going up at Thu Aug  5 16:16:25 2021
ID: 263 crossed going up at Thu Aug  5 16:16:26 2021
ID: 263 crossed going down at Thu Aug  5 16:16:26 2021
ID: 266 crossed going down at Thu Aug  5 16:16:26 2021
ID: 269 crossed going down at Thu Aug  5 16:16:27 2021
ID: 269 crossed going down at Thu Aug  5 16:16:27 2021
ID: 268 crossed going down at Thu Aug  5 16:16:28 2021
ID: 281 crossed going down at Thu Aug  5 16:16:37 2021
ID: 276 crossed going up at Thu Aug  5 16:16:37 2021
ID: 280 crossed going up at Thu Aug  5 16:16:38 2021
ID: 282 crossed going down at Thu Aug  5 16:16:38 2021
ID: 280 crossed going up at Thu Aug  5 16:16:38 2021
ID: 280 crossed going up at Thu Aug  5 16:16:39 2021
ID: 280 crossed going up at Thu Aug  5 16:16:39 2021
ID: 289 crossed going up at Thu Aug  5 16:16:39 2021
ID: 290 crossed going up at Thu Aug  5 16:16:39 2021
ID: 280 crossed going down at Thu Aug  5 16:16:40 2021
ID: 280 crossed going down at Thu Aug  5 16:16:40 2021
ID: 280 crossed going down at Thu Aug  5 16:16:40 2021
